Date : 2025-05-06 17:06:15
Directory : e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src
Total : 174 files,  146803 codes, 5457 comments, 14495 blanks, all 166755 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\client\lib\owlcarousel\assets\owl.carousel.css                       | CSS             |        132 |         23 |         16 |        171 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\client\lib\owlcarousel\assets\owl.carousel.min.css                   | CSS             |          1 |          5 |          0 |          6 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\client\lib\owlcarousel\assets\owl.theme.default.css                  | CSS             |         40 |          8 |          3 |         51 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\client\lib\owlcarousel\assets\owl.theme.default.min.css              | CSS             |          1 |          5 |          0 |          6 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\client\lib\owlcarousel\assets\owl.theme.green.css                    | CSS             |         40 |          8 |          3 |         51 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\client\lib\owlcarousel\assets\owl.theme.green.min.css                | CSS             |          1 |          5 |          0 |          6 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\client\lib\owlcarousel\owl.carousel.js                               | JavaScript      |      1,901 |        908 |        467 |      3,276 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\client\lib\owlcarousel\owl.carousel.min.js                           | JavaScript      |          2 |          5 |          0 |          7 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\client\lib\waypoints\links.php                                       | PHP             |          5 |          0 |          1 |          6 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\client\lib\waypoints\waypoints.min.js                                | JavaScript      |          1 |          6 |          0 |          7 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\css\demo.css                                                         | CSS             |          4 |          0 |          0 |          4 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\css\styles.css                                                       | CSS             |     10,423 |         39 |        781 |     11,243 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\js\chart-area-demo.js                                                | JavaScript      |         51 |          2 |          2 |         55 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\js\chart-bar-demo.js                                                 | JavaScript      |         43 |          2 |          2 |         47 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\js\chart-pie-demo.js                                                 | JavaScript      |         13 |          2 |          2 |         17 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\js\datatables-demo.js                                                | JavaScript      |          3 |          1 |          1 |          5 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\js\datatables-simple-demo.js                                         | JavaScript      |          6 |          2 |          2 |         10 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\js\scripts.js                                                        | JavaScript      |         13 |         13 |          2 |         28 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\assets\css\app.css                                              | CSS             |        100 |         48 |         18 |        166 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\assets\css\product-detail.css                                   | CSS             |        185 |          0 |         34 |        219 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\assets\js\app.js                                                | JavaScript      |          0 |          0 |          1 |          1 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\bootstrap-5.3.3-dist\css\bootstrap-grid.css              | CSS             |      3,886 |          6 |        193 |      4,085 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\bootstrap-5.3.3-dist\css\bootstrap-grid.min.css          | CSS             |          1 |          5 |          0 |          6 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\bootstrap-5.3.3-dist\css\bootstrap-grid.rtl.css          | CSS             |      3,886 |          6 |        192 |      4,084 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\bootstrap-5.3.3-dist\css\bootstrap-grid.rtl.min.css      | CSS             |          1 |          5 |          0 |          6 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\bootstrap-5.3.3-dist\css\bootstrap-reboot.css            | CSS             |        518 |         14 |         65 |        597 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\bootstrap-5.3.3-dist\css\bootstrap-reboot.min.css        | CSS             |          1 |          5 |          0 |          6 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\bootstrap-5.3.3-dist\css\bootstrap-reboot.rtl.css        | CSS             |        524 |          6 |         64 |        594 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\bootstrap-5.3.3-dist\css\bootstrap-reboot.rtl.min.css    | CSS             |          1 |          5 |          0 |          6 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\bootstrap-5.3.3-dist\css\bootstrap-utilities.css         | CSS             |      4,891 |          8 |        503 |      5,402 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\bootstrap-5.3.3-dist\css\bootstrap-utilities.min.css     | CSS             |          1 |          5 |          0 |          6 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\bootstrap-5.3.3-dist\css\bootstrap-utilities.rtl.css     | CSS             |      4,887 |          6 |        500 |      5,393 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\bootstrap-5.3.3-dist\css\bootstrap-utilities.rtl.min.css | CSS             |          1 |          5 |          0 |          6 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\bootstrap-5.3.3-dist\css\bootstrap.css                   | CSS             |     11,136 |         24 |        897 |     12,057 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\bootstrap-5.3.3-dist\css\bootstrap.min.css               | CSS             |          2 |          4 |          0 |          6 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\bootstrap-5.3.3-dist\css\bootstrap.rtl.css               | CSS             |     11,138 |          6 |        886 |     12,030 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\bootstrap-5.3.3-dist\css\bootstrap.rtl.min.css           | CSS             |          2 |          4 |          0 |          6 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\bootstrap-5.3.3-dist\js\bootstrap.bundle.js              | JavaScript      |      5,064 |        655 |        596 |      6,315 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\bootstrap-5.3.3-dist\js\bootstrap.bundle.min.js          | JavaScript      |          1 |          6 |          0 |          7 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\bootstrap-5.3.3-dist\js\bootstrap.esm.js                 | JavaScript      |      3,568 |        578 |        302 |      4,448 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\bootstrap-5.3.3-dist\js\bootstrap.esm.min.js             | JavaScript      |          1 |          6 |          0 |          7 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\bootstrap-5.3.3-dist\js\bootstrap.js                     | JavaScript      |      3,604 |        584 |        307 |      4,495 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\bootstrap-5.3.3-dist\js\bootstrap.min.js                 | JavaScript      |          1 |          6 |          0 |          7 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\bootstrap\css\bootstrap-grid.css                         | CSS             |      3,886 |          6 |        193 |      4,085 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\bootstrap\css\bootstrap-grid.min.css                     | CSS             |          1 |          5 |          0 |          6 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\bootstrap\css\bootstrap-grid.rtl.css                     | CSS             |      3,886 |          6 |        192 |      4,084 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\bootstrap\css\bootstrap-grid.rtl.min.css                 | CSS             |          1 |          5 |          0 |          6 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\bootstrap\css\bootstrap-reboot.css                       | CSS             |        518 |         14 |         65 |        597 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\bootstrap\css\bootstrap-reboot.min.css                   | CSS             |          1 |          5 |          0 |          6 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\bootstrap\css\bootstrap-reboot.rtl.css                   | CSS             |        524 |          6 |         64 |        594 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\bootstrap\css\bootstrap-reboot.rtl.min.css               | CSS             |          1 |          5 |          0 |          6 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\bootstrap\css\bootstrap-utilities.css                    | CSS             |      4,891 |          8 |        503 |      5,402 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\bootstrap\css\bootstrap-utilities.min.css                | CSS             |          1 |          5 |          0 |          6 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\bootstrap\css\bootstrap-utilities.rtl.css                | CSS             |      4,887 |          6 |        500 |      5,393 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\bootstrap\css\bootstrap-utilities.rtl.min.css            | CSS             |          1 |          5 |          0 |          6 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\bootstrap\css\bootstrap.css                              | CSS             |     11,136 |         24 |        897 |     12,057 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\bootstrap\css\bootstrap.min.css                          | CSS             |          2 |          4 |          0 |          6 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\bootstrap\css\bootstrap.rtl.css                          | CSS             |     11,138 |          6 |        886 |     12,030 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\bootstrap\css\bootstrap.rtl.min.css                      | CSS             |          2 |          4 |          0 |          6 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\bootstrap\js\bootstrap.bundle.js                         | JavaScript      |      5,064 |        655 |        596 |      6,315 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\bootstrap\js\bootstrap.bundle.min.js                     | JavaScript      |          1 |          6 |          0 |          7 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\bootstrap\js\bootstrap.esm.js                            | JavaScript      |      3,568 |        578 |        302 |      4,448 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\bootstrap\js\bootstrap.esm.min.js                        | JavaScript      |          1 |          6 |          0 |          7 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\bootstrap\js\bootstrap.js                                | JavaScript      |      3,604 |        584 |        307 |      4,495 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\bootstrap\js\bootstrap.min.js                            | JavaScript      |          1 |          6 |          0 |          7 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\font-awesome\css\font-awesome.css                        | CSS             |      2,327 |         10 |          1 |      2,338 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\font-awesome\css\font-awesome.min.css                    | CSS             |          1 |          3 |          1 |          5 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\font-awesome\fonts\fontawesome-webfont.svg               | XML             |      2,671 |          0 |          1 |      2,672 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\font-awesome\less\animated.less                          | Less            |         28 |          2 |          5 |         35 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\font-awesome\less\bordered-pulled.less                   | Less            |         17 |          3 |          6 |         26 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\font-awesome\less\core.less                              | Less            |          8 |          2 |          3 |         13 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\font-awesome\less\fixed-width.less                       | Less            |          4 |          2 |          1 |          7 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\font-awesome\less\font-awesome.less                      | Less            |         13 |          4 |          2 |         19 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\font-awesome\less\icons.less                             | Less            |        786 |          2 |          2 |        790 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\font-awesome\less\larger.less                            | Less            |          9 |          3 |          2 |         14 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\font-awesome\less\list.less                              | Less            |         16 |          2 |          2 |         20 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\font-awesome\less\mixins.less                            | Less            |         41 |         10 |         10 |         61 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\font-awesome\less\path.less                              | Less            |         11 |          3 |          2 |         16 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\font-awesome\less\rotated-flipped.less                   | Less            |         12 |          4 |          5 |         21 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\font-awesome\less\screen-reader.less                     | Less            |          2 |          2 |          2 |          6 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\font-awesome\less\stacked.less                           | Less            |         17 |          2 |          2 |         21 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\font-awesome\less\variables.less                         | Less            |        794 |          3 |          4 |        801 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\font-awesome\scss\_animated.scss                         | SCSS            |         28 |          2 |          5 |         35 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\font-awesome\scss\_bordered-pulled.scss                  | SCSS            |         17 |          3 |          6 |         26 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\font-awesome\scss\_core.scss                             | SCSS            |          8 |          2 |          3 |         13 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\font-awesome\scss\_fixed-width.scss                      | SCSS            |          4 |          2 |          1 |          7 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\font-awesome\scss\_icons.scss                            | SCSS            |        786 |          2 |          2 |        790 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\font-awesome\scss\_larger.scss                           | SCSS            |          9 |          3 |          2 |         14 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\font-awesome\scss\_list.scss                             | SCSS            |         16 |          2 |          2 |         20 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\font-awesome\scss\_mixins.scss                           | SCSS            |         41 |         10 |         10 |         61 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\font-awesome\scss\_path.scss                             | SCSS            |         11 |          3 |          2 |         16 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\font-awesome\scss\_rotated-flipped.scss                  | SCSS            |         12 |          4 |          5 |         21 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\font-awesome\scss\_screen-reader.scss                    | SCSS            |          2 |          2 |          2 |          6 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\font-awesome\scss\_stacked.scss                          | SCSS            |         17 |          2 |          2 |         21 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\font-awesome\scss\_variables.scss                        | SCSS            |        794 |          3 |          4 |        801 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\font-awesome\scss\font-awesome.css                       | CSS             |      2,325 |         10 |        705 |      3,040 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\font-awesome\scss\font-awesome.scss                      | SCSS            |         13 |          4 |          2 |         19 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\jquery\jquery.min.js                                     | JavaScript      |          1 |          1 |          1 |          3 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\test\vendor\popperjs\popper.min.js                                   | JavaScript      |          1 |          4 |          2 |          7 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\test\java\vn\hoidanit\laptopshop\LaptopshopApplicationTests.java                           | Java            |          9 |          0 |          5 |         14 |
| Total                                                                                                                                                                                                                 |                 |    146,803 |      5,457 |     14,495 |    166,755 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
